Pos,Country,LEAGUE
1,ENG,Premier League
2,ESP,La Liga
3,ITA,Serie A
4,GER,Bundesliga
5,FRA,Ligue 1
6,POR,Primeira Liga
7,NED,Eredivisie
8,RUS,Российская Премьер-Лига
9,MEX,Liga MX
10,BEL,First Division A Pro League
11,TUR,Süper Lig
12,USA,Major League Soccer
13,BRA,Campeonato Brasileiro Série A
14,ARG,Liga Profesional de Fútbol
15,UKR,Українська Прем’єр-Лі́га
16,AUT,Fußball-Bundesliga
17,SCO,Scottish Premiership
18,ENG,EFL Championship
19,CRO,Prva Liga
20,SUI,Super League
21,KSA,دوري المحترفين السعودي
22,CZE,1. Česká Fotbalová Liga
23,DEN,Superligaen
24,GRE,Ελληνική Σούπερ Λίγκα
25,CHN,中国足球协会超级联赛
26,JPN,J1リーグ
27,SRB,Суперлига Србије
28,COL,Categoría Primera A
29,KOR,K리그-클래식
30,GER,2. Bundesliga
31,CYP,Παγκύπριο Πρωτάθλημα Α΄ Κατηγορίας
32,SWE,Allsvenskan
33,FRA,Ligue 2
34,ESP,LaLiga2
35,ITA,Serie B
36,IRN,یگ برتر خلیج فارس
37,NOR,Eliteserien
38,CRC,Liga FPD
39,HON,Liga Nacional
40,EGY,الدوري المصري الممتاز
41,TUN,الرابطة المحترفة الأولى لكرة القدم
42,ISR,ליגת העל
43,PAR,División de Honor
44,QAT,دوري نجوم قطر
45,BUL,Първа Лига
46,ROU,Liga I
47,HUN,Nemzeti Bajnokság
48,KAZ,Қазақстан Премьер Лигасы
49,SVK,Superliga
50,POL,Ekstraklasa
51,URU,Campeonato Uruguayo
52,UAE,دوري المحترفين الإماراتي
53,CHI,Primera División de Chile
54,MAR,Botola Pro 1 / البطولة
55,MDA,Divizia Națională
56,RSA,Premier Soccer League
57,AZE,Premyer Liqası
58,ALG,الرابطة الجزائرية المحترفة الأولى لكرة القدم
59,BLR,Вышэйшая Ліга
60,COD,Linafoot
61,NGA,Nigerian Professional Football League
62,GUI,Guinée Championnat National
63,POR,Liga Portugal 2
64,ECU,Serie A de Ecuador
65,SVN,PrvaLiga
66,TAN,Ligi Kuu Tanzania Bara
67,E,All other Leagues in the world
