Pos,Country,LEAGUE
1,ENG,Premier League
2,ESP,La Liga
3,ITA,Serie A
4,GER,Bundesliga
5,FRA,Ligue 1
6,POR,Primeira Liga
7,NED,Eredivisie
8,RUS,Russian Premier League
9,MEX,Liga MX
10,BEL,Belgian Pro League
11,TUR,Super Lig
12,USA,Major League Soccer
13,BRA,Brazilian Serie A
14,ARG,Argentine Primera Division
15,UKR,Ukrainian Premier League
16,AUT,Austrian Bundesliga
17,SCO,Scottish Premiership
18,ENG,EFL Championship
19,CRO,Croatian First League
20,SUI,Swiss Super League
21,KSA,Saudi Pro League
22,CZE,Czech First League
23,DEN,Danish Superliga
24,GRE,Greek Super League
25,CHN,Chinese Super League
26,JPN,J1 League
27,SRB,Serbian SuperLiga
28,COL,Categoria Primera A
29,KOR,K League 1
30,GER,2. Bundesliga
31,CYP,Cypriot First Division
32,SWE,Allsvenskan
33,FRA,Ligue 2
34,ESP,LaLiga2
35,ITA,Serie B
36,IRN,Persian Gulf Pro League
37,NOR,Eliteserien
38,CRC,Liga FPD
39,HON,Liga Nacional
40,EGY,Egyptian Premier League
41,TUN,Tunisian Ligue Professionnelle 1
42,ISR,Ligat Ha'Al
43,PAR,Division de Honor
44,QAT,Qatar Stars League
45,BUL,First Professional Football League
46,ROU,Liga I
47,HUN,Nemzeti Bajnokság I
48,KAZ,Kazakhstan Premier League
49,SVK,Slovak Super Liga
50,POL,Ekstraklasa
51,URU,Uruguayan Primera Division
52,UAE,UAE Pro League
53,CHI,Primera Division de Chile
54,MAR,Botola Pro 1
55,MDA,Moldovan National Division
56,RSA,Premier Soccer League
57,AZE,Azerbaijan Premier League
58,ALG,Algerian Ligue Professionnelle 1
59,BLR,Belarusian Premier League
60,COD,Linafoot
61,NGA,Nigerian Professional Football League
62,GUI,Guinea Championnat National
63,POR,Liga Portugal 2
64,ECU,Serie A de Ecuador
65,SVN,Slovenian PrvaLiga
66,TAN,Tanzanian Premier League
67,E,All other Leagues in the world
